Timestep,Alpha,Omega,Theta
28.8,0.0021966592,-0.0058824063,0.38556987
28.9,0.0022407919,-0.0056583271,0.38500404
29,0.002280511,-0.005430276,0.38446101
29.1,0.0023158498,-0.005198691,0.38394114
29.2,0.0023468476,-0.0049640063,0.38344474
29.3,0.0023735498,-0.0047266513,0.38297207
29.4,0.0023960073,-0.0044870506,0.38252337
29.5,0.0024142765,-0.0042456229,0.38209881
29.6,0.002428419,-0.004002781,0.38169853
29.7,0.0024385016,-0.0037589308,0.38132264
29.8,0.0024445959,-0.0035144713,0.38097119
29.9,0.002446778,-0.0032697935,0.38064421
30,0.0024451286,-0.0030252806,0.38034168
30.1,0.0024397324,-0.0027813074,0.38006355
30.2,0.0024306784,-0.0025382395,0.37980973
30.3,0.0024180589,-0.0022964336,0.37958008
30.4,0.0024019701,-0.0020562366,0.37937446
30.5,0.0023825113,-0.0018179855,0.37919266
30.6,0.002359785,-0.001582007,0.37903446
30.7,0.0023338965,-0.0013486173,0.3788996
30.8,0.0023049537,-0.001118122,0.37878779
30.9,0.0022730669,-0.00089081528,0.3786987
31,0.0022383487,-0.00066698041,0.37863201
31.1,0.0022009135,-0.00044688906,0.37858732
31.2,0.0021608776,-0.00023080131,0.37856424
31.3,0.0021183586,-1.8965443e-05,0.37856234
31.4,0.0020734758,0.00018838214,0.37858118
31.5,0.0020263492,0.00039101706,0.37862028
31.6,0.0019770999,0.00058872704,0.37867915
31.7,0.0019258496,0.000781312,0.37875728
31.8,0.0018727206,0.00096858406,0.37885414
31.9,0.0018178353,0.0011503676,0.37896918
32,0.0017613163,0.0013264992,0.37910183
32.1,0.0017032862,0.0014968278,0.37925151
32.2,0.001643867,0.0016612145,0.37941763
32.3,0.0015831806,0.0018195326,0.37959959
32.4,0.0015213479,0.0019716674,0.37979675
32.5,0.0014584892,0.0021175163,0.38000851
32.6,0.0013947238,0.0022569887,0.3802342
32.7,0.0013301697,0.0023900057,0.3804732
32.8,0.0012649437,0.0025165,0.38072485
32.9,0.0011991611,0.0026364161,0.3809885
33,0.0011329355,0.0027497097,0.38126347
33.1,0.0010663789,0.0028563476,0.3815491
33.2,0.00099960141,0.0029563077,0.38184473
33.3,0.00093271092,0.0030495788,0.38214969
33.4,0.00086581334,0.0031361601,0.38246331
33.5,0.00079901229,0.0032160614,0.38278491
33.6,0.00073240901,0.0032893023,0.38311384
33.7,0.00066610223,0.0033559125,0.38344943
33.8,0.00060018816,0.0034159313,0.38379103
33.9,0.00053476028,0.0034694073,0.38413797
34,0.00046990935,0.0035163983,0.38448961
34.1,0.00040572327,0.0035569706,0.38484531
34.2,0.00034228703,0.0035911993,0.38520443
34.3,0.00027968264,0.0036191676,0.38556634
34.4,0.00021798906,0.0036409665,0.38593044
34.5,0.00015728213,0.0036566947,0.38629611
34.6,9.7634569e-05,0.0036664581,0.38666275
34.7,3.9115869e-05,0.0036703697,0.38702979
34.8,-1.8207704e-05,0.003668549,0.38739665
34.9,-7.4273157e-05,0.0036611216,0.38776276
35,-0.0001290208,0.0036482196,0.38812758
35.1,-0.00018239424,0.0036299801,0.38849058
35.2,-0.00023434046,0.0036065461,0.38885123
35.3,-0.00028480976,0.0035780651,0.38920904
35.4,-0.00033375579,0.0035446895,0.38956351
35.5,-0.00038113556,0.003506576,0.38991417
35.6,-0.00042690942,0.003463885,0.39026055
35.7,-0.00047104107,0.0034167809,0.39060223
35.8,-0.0005134975,0.0033654312,0.39093878
35.9,-0.00055424903,0.0033100063,0.39126978
36,-0.00059326923,0.0032506794,0.39159484
36.1,-0.00063053493,0.0031876259,0.39191361
36.2,-0.00066602617,0.0031210233,0.39222571
36.3,-0.00069972614,0.0030510506,0.39253081
36.4,-0.00073162119,0.0029778885,0.3928286
36.5,-0.00076170075,0.0029017184,0.39311877
36.6,-0.00078995727,0.0028227227,0.39340105
36.7,-0.00081638619,0.0027410841,0.39367516
36.8,-0.00084098588,0.0026569855,0.39394085
36.9,-0.00086375755,0.0025706098,0.39419791
37,-0.00088470525,0.0024821392,0.39444613
37.1,-0.00090383573,0.0023917557,0.3946853
37.2,-0.00092115841,0.0022996398,0.39491527
37.3,-0.00093668533,0.0022059713,0.39513587
37.4,-0.00095043102,0.0021109282,0.39534696
37.5,-0.00096241246,0.0020146869,0.39554843
37.6,-0.00097264899,0.001917422,0.39574017
37.7,-0.00098116226,0.0018193058,0.3959221
37.8,-0.00098797608,0.0017205082,0.39609415
37.9,-0.0009931164,0.0016211966,0.39625627
38,-0.0009966112,0.0015215354,0.39640842
38.1,-0.00099849041,0.0014216864,0.39655059
38.2,-0.00099878579,0.0013218078,0.39668277
38.3,-0.0009975309,0.0012220547,0.39680498
38.4,-0.00099476095,0.0011225786,0.39691724
38.5,-0.00099051275,0.0010235274,0.39701959
38.6,-0.00098482462,0.0009250449,0.39711209
38.7,-0.00097773625,0.00082727128,0.39719482
38.8,-0.00096928867,0.00073034241,0.39726786
38.9,-0.00095952412,0.00063439,0.39733129
39,-0.00094848598,0.0005395414,0.39738525
39.1,-0.00093621865,0.00044591953,0.39742984
39.2,-0.0009227675,0.00035364278,0.3974652
39.3,-0.00090817875,0.00026282491,0.39749149
39.4,-0.00089249936,0.00017357497,0.39750884
39.5,-0.00087577701,8.5997271e-05,0.39751744
39.6,-0.00085805994,1.9127708e-07,0.39751746
39.7,-0.00083939691,-8.3748414e-05,0.39750909
39.8,-0.00081983709,-0.00016573212,0.39749252
39.9,-0.00079942997,-0.00024567512,0.39746795
40,-0.00077822531,-0.00032349765,0.3974356
40.1,-0.00075627302,-0.00039912495,0.39739569
40.2,-0.00073362309,-0.00047248726,0.39734844
