Timestep,Alpha,Omega,Theta
18.9,-0.0029689183,-0.0019935255,0.39814797
19,0.00068762197,-0.002221611,0.39808676
19.1,-0.00040841218,-0.002193664,0.39705312
19.2,0.0020888595,-0.0020256068,0.39670745
19.3,0.00049134713,-0.0017675917,0.3958134
19.4,0.0019490916,-0.0015235709,0.39614784
19.5,-0.0010540978,-0.0014341103,0.39625794
19.6,-0.00053470888,-0.001592963,0.39569735
19.7,0.0011633306,-0.0015301054,0.39599106
19.8,-0.00093525536,-0.0015073277,0.39623721
19.9,-0.00086185177,-0.0016870381,0.39651711
20,-0.0009891086,-0.0018721196,0.39627463
20.1,0.00030192933,-0.0019408245,0.39611534
20.2,0.00012636613,-0.0018980113,0.39626612
20.3,-0.00064333667,-0.0019496878,0.39544596
20.4,0.0018168994,-0.001832301,0.39458471
20.5,0.0020523644,-0.0014453893,0.39409389
20.6,0.0012412335,-0.0011160527,0.39380081
20.7,0.00081302756,-0.00091063976,0.39354014
20.8,0.00077658987,-0.00075169139,0.39366381
20.9,-0.00016600011,-0.00069064317,0.39366131
21,0.00013682229,-0.00069355802,0.39351744
21.1,0.00049878153,-0.00062999952,0.39347211
21.2,0.00026922866,-0.000553204,0.393361
21.3,0.00044459297,-0.00048182525,0.39333526
21.4,0.00024354542,-0.00041301383,0.39291798
21.5,0.0012498493,-0.00026367726,0.39290548
21.6,0.00028029031,-0.00011067622,0.39252596
21.7,0.0012218467,3.9534371e-05,0.39278922
21.8,-0.00036294239,0.00012541121,0.39265711
21.9,0.00060711057,0.00014983085,0.39227973
22,0.0012562009,0.0003361571,0.39269525
22.1,-0.00071314452,0.00039044576,0.3918515
22.2,0.0024442622,0.00056356878,0.39229827
22.3,-0.00072421275,0.00073555199,0.39284124
22.4,-0.0010419016,0.00055894716,0.39281753
22.5,0.00032185647,0.00048695561,0.39314953
22.6,-0.00058507875,0.00046062543,0.39244585
22.7,0.0020130911,0.0006034312,0.3923836
22.8,0.00048376159,0.0008530894,0.3916632
22.9,0.0021788292,0.0011193393,0.39147899
23,0.00092191161,0.0014293939,0.39166708
23.1,-1.248452e-06,0.0015214375,0.39112066
23.2,0.0018495082,0.0017062681,0.39148324
23.3,-0.00038952624,0.0018522571,0.39197882
23.4,-0.00078765354,0.001734534,0.39180592
23.5,0.00084468991,0.0017402193,0.39097243
23.6,0.0025640034,0.0020810684,0.39070195
23.7,0.0012567942,0.0024631332,0.3911687
23.8,-0.00058653771,0.0025301244,0.39067648
23.9,0.0017944642,0.0026509403,0.39145404
24,-0.0013767691,0.0026927135,0.39226952
24.1,-0.001597932,0.0023952553,0.39253908
24.2,-0.00033071829,0.0022024185,0.39327188
24.3,-0.0015598128,0.0020133513,0.39283511
24.4,0.0013168824,0.0019890525,0.39238209
24.5,0.0014283788,0.0022635694,0.39264115
24.6,-0.00032196382,0.002374203,0.39297737
24.7,-0.00056098708,0.0022859039,0.39298475
24.8,0.00022694439,0.0022524951,0.39290418
24.9,0.000450797,0.0023202505,0.39252649
25,0.0012243281,0.0024877574,0.3926942
25.1,-0.00011145264,0.002599016,0.39227304
25.2,0.0013693339,0.0027248061,0.3925819
25.3,-0.00043203873,0.0028185201,0.39267026
25.4,8.3038264e-05,0.0027836291,0.39313488
25.5,-0.00089438815,0.002702467,0.39255772
25.6,0.0016981788,0.0027828583,0.3930242
25.7,-0.00088125347,0.002864538,0.39325675
25.8,-0.00035720128,0.0027407064,0.39378656
25.9,-0.0011557007,0.002589421,0.39412864
26,-0.00076041054,0.002397821,0.39450305
26.1,-0.00089853501,0.002231945,0.3952655
26.2,-0.001952704,0.0019468203,0.39517637
26.3,0.0001043365,0.0017619937,0.39525905
26.4,-0.00032223725,0.0017402121,0.39592363
26.5,-0.0018262966,0.001525368,0.39651083
26.6,-0.0017359472,0.0011691517,0.39642296
26.7,-0.0001032291,0.00098523924,0.39609484
26.8,0.00052446774,0.0010273621,0.39604544
26.9,-0.00013792398,0.0010660112,0.39594982
27,-1.3020315e-05,0.0010509159,0.39590239
27.1,-0.00012236409,0.0010373779,0.39603411
27.2,-0.0005746936,0.00096767232,0.39608383
27.3,-0.00038722701,0.00087148383,0.39620658
27.4,-0.00058349651,0.00077441328,0.39623868
27.5,-0.000372473,0.0006788218,0.39661245
27.6,-0.0012537983,0.0005161975,0.39680774
27.7,-0.00085829548,0.00030499691,0.39730552
27.8,-0.0016656358,5.2607788e-05,0.39683189
27.9,0.00073976981,-3.996983e-05,0.39687226
28,-0.00050195007,-1.6192141e-05,0.39727188
28.1,-0.001429853,-0.00020937127,0.39822047
28.2,-0.0029011667,-0.00064246685,0.39839339
28.3,-0.0010694496,-0.0010395189,0.39908
28.4,-0.002414603,-0.0013879223,0.3992552
28.5,-0.0012178324,-0.0017511635,0.39981376
28.6,-0.0022299927,-0.0020959407,0.39965981
28.7,-0.0004981497,-0.0023687222,0.39832816
28.8,0.0025388719,-0.0021646477,0.39812573
28.9,-0.00014108172,-0.0019248773,0.3977164
29,0.000418869,-0.0018971114,0.39833674
29.1,-0.0021537015,-0.0020706037,0.398502
29.2,-0.0010902505,-0.0023949882,0.39825549
29.3,-6.4824243e-05,-0.0025105028,0.39859612
29.4,-0.0015307704,-0.0026700609,0.39828199
29.5,8.865022e-05,-0.0028142822,0.39872869
29.6,-0.0018111706,-0.0029865251,0.39805313
29.7,0.0009880919,-0.0030688335,0.39811691
29.8,-0.00079869857,-0.003049901,0.39789281
29.9,-7.4051568e-05,-0.0031371558,0.3969349
30,0.0018384849,-0.0029607168,0.39682966
30.1,-0.00019277457,-0.0027961409,0.39601746
30.2,0.0016323977,-0.0026521803,0.39586832
30.3,6.3613086e-05,-0.0024825844,0.39552695
30.4,0.00057840108,-0.002418387,0.39547557
30.5,-0.00011048974,-0.0023715996,0.39529883
30.6,0.00021759853,-0.0023608908,0.3951963
30.7,5.4847886e-05,-0.0023336424,0.39471493
30.8,0.0010401924,-0.0022241462,0.39492183
30.9,-0.00064558663,-0.0021846851,0.39443431
31,0.0010982138,-0.0021394243,0.39450413
31.1,-0.00025126979,-0.0020547234,0.39364829
31.2,0.0021066733,-0.0018691891,0.39395147
31.3,-0.00072390596,-0.0017309202,0.3937443
31.4,0.00053363107,-0.001749944,0.393502
31.5,0.00065633404,-0.0016309485,0.39326148
31.6,0.00069025197,-0.0014962875,0.3926927
31.7,0.0015689945,-0.0012703588,0.39191236
31.8,0.0022017478,-0.00089328897,0.39163496
31.9,0.0010394358,-0.00056917891,0.3916151
32,0.00042495618,-0.00042274108,0.39096161
32.1,0.0020507741,-0.00017516965,0.39099947
32.2,0.00038617189,6.8517317e-05,0.39141041
32.3,-0.00057435965,4.9697206e-05,0.39152954
32.4,0.00010741392,3.004632e-06,0.39157535
32.5,0.00027649585,4.139529e-05,0.39179683
32.6,-0.00018012666,5.1031262e-05,0.39174375
32.7,0.00048766465,8.1785714e-05,0.39182149
32.8,0.00016163663,0.00014671414,0.39171286
32.9,0.00062668315,0.00022554567,0.3917943
33,0.00015785012,0.00030399792,0.39239387
33.1,-0.0011813563,0.00020164644,0.39213878
33.2,0.0009108344,0.00017459842,0.39235369
33.3,-0.00025137808,0.00024054138,0.39258385
33.4,-0.0003247333,0.00018293102,0.39259404
33.5,0.0002016451,0.00017062364,0.39292481
33.6,-0.00062072497,0.00012871538,0.3934192
33.7,-0.0010926801,-4.2623264e-05,0.39310585
33.8,0.00089578174,-6.230978e-05,0.39309679
33.9,0.00016679616,4.3945387e-05,0.39283259
34,0.00082129853,0.00014275407,0.39250334
34.1,0.0010300889,0.00032789111,0.39297644
34.2,-0.00097123197,0.00033377374,0.39297457
34.3,0.00016885859,0.00025353911,0.39295703
34.4,0.00020917758,0.00029134182,0.39274473
34.5,0.00071050135,0.00038330935,0.39288489
34.6,-0.00015786433,0.00043857007,0.39250566
34.7,0.0011493518,0.00053771729,0.39199821
34.8,0.0015384226,0.00080649311,0.39243173
34.9,-0.00078903247,0.00088142634,0.39217007
35,0.00092139209,0.00089466505,0.39236245
35.1,-0.00019889117,0.00096691188,0.39231144
35.2,0.0003935311,0.00098637858,0.39276294
35.3,-0.00088464569,0.00093726974,0.39352415
35.4,-0.0017499352,0.00067381358,0.39350778
35.5,0.0001185549,0.00051067946,0.39340758
35.6,0.00033547282,0.00055608307,0.3938155
35.7,-0.00094966935,0.00049466181,0.3935892
35.8,0.00060828623,0.00046052551,0.39351806
35.9,0.00024694961,0.00054604648,0.39319148
36,0.00091198023,0.0006619401,0.39359179
36.1,-0.00089685043,0.00066345153,0.39387076
36.2,-0.00065072247,0.00050869665,0.39398437
36.3,-0.00027251017,0.00041637356,0.39351514
36.4,0.0012009783,0.00050922115,0.39360491
36.5,-0.0001553429,0.00061378214,0.39378211
36.6,-0.00039393437,0.00055885581,0.39415568
36.7,-0.00092549809,0.00042691257,0.39384598
36.8,0.00076339517,0.00041070435,0.39385301
36.9,1.6434514e-06,0.00048720715,0.39421513
37,-0.00090904732,0.00039646716,0.39443514
37.1,-0.00060383222,0.00024518076,0.39417686
37.2,0.00058474067,0.00024327242,0.39386448
37.3,0.00076405007,0.00037814969,0.39362268
37.4,0.0006329131,0.00051784482,0.39388989
37.5,-0.00063188151,0.0005179461,0.39374465
37.6,0.00038079321,0.0004928385,0.39374375
37.7,3.410869e-05,0.00053432639,0.39323995
37.8,0.0013213569,0.00066987453,0.39377771
37.9,-0.0012647747,0.00067552912,0.39356194
38,0.00057785042,0.0006068379,0.39324412
38.1,0.00087333801,0.0007519545,0.39303436
38.2,0.00064739063,0.00090402838,0.39378973
38.3,-0.0017900929,0.00078975789,0.39415486
38.4,-0.00091242464,0.00051951014,0.39430167
38.5,-0.00041255534,0.00038701411,0.39437937
38.6,-0.00025979533,0.00031977916,0.39402104
38.7,0.00084340794,0.0003781414,0.39428118
38.8,-0.00068310052,0.00039417066,0.39445516
38.9,-0.00050483998,0.00027537857,0.39483339
39,-0.0010563413,0.00011926177,0.39523415
39.1,-0.0011754594,-0.00010391622,0.39468007
39.2,0.0012039155,-0.0001010683,0.39479077
39.3,-0.000410083,-2.1687061e-05,0.39430345
39.4,0.0011023834,4.754372e-05,0.39419067
39.5,0.00022092056,0.00017987205,0.39431795
39.6,-0.00037620842,0.00016434246,0.39377432
39.7,0.0013203985,0.0002587616,0.39340276
39.8,0.0009665554,0.00048745478,0.39359114
39.9,-0.00040779621,0.00054332918,0.39376299
40,-0.0003959934,0.00046295069,0.39369859
40.1,0.00018089901,0.00044144291,0.39415618
40.2,-0.0011455691,0.00034497602,0.39448248
40.3,-0.00088335398,0.00014208561,0.394372
40.4,0.00018192835,7.1945023e-05,0.39491397
40.5,-0.0014714604,-5.7008463e-05,0.3947777
40.6,0.00017724943,-0.00018642697,0.39482087
40.7,-0.00026114245,-0.00019481637,0.39458033
40.8,0.00045746613,-0.00017518345,0.39441643
40.9,0.00029901227,-9.9536437e-05,0.39445732
41,-0.00019970569,-8.9606417e-05,0.39467861
41.1,-0.00066885378,-0.00017646215,0.39483513
41.2,-0.00053923697,-0.00029727058,0.3952852
41.3,-0.0013167344,-0.00048286612,0.39487744
41.4,0.00080636723,-0.0005339005,0.39475698
41.5,0.00013525504,-0.00043973905,0.39446286
41.6,0.00059834607,-0.00036637881,0.39421009
41.7,0.00053888707,-0.00025265667,0.39432575
41.8,-0.00036446808,-0.00023521563,0.39428952
41.9,5.2224465e-06,-0.00027113979,0.39444044
42,-0.00046876183,-0.00031749349,0.39423452
42.1,0.00041994385,-0.00032237458,0.39422869
42.2,-5.9938878e-05,-0.00028637493,0.39433164
42.3,-0.00033813929,-0.00032618265,0.39430103
42.4,-1.3330243e-05,-0.00036132869,0.39398698
42.5,0.000716613,-0.00029100007,0.39369125
42.6,0.00071946782,-0.00014739309,0.39367288
42.7,5.6395508e-05,-6.9807692e-05,0.39338898
42.8,0.00073872898,9.7046787e-06,0.39379031
42.9,-0.00097038056,-1.3461674e-05,0.39402806
43,-0.00061632986,-0.00017213131,0.39412505
43.1,-0.00029455554,-0.00026321888,0.39403374
43.2,0.00017140654,-0.00027553314,0.39380779
43.3,0.0005302075,-0.00020537212,0.39393777
43.4,-0.00034526987,-0.00018687953,0.39432509
43.5,-0.001025447,-0.00032395063,0.39421961
43.6,0.00017352833,-0.00040914094,0.39410984
43.7,0.00020078163,-0.00037171048,0.39425797
43.8,-0.00044245536,-0.00039587827,0.39429914
43.9,-0.00019296547,-0.00045942026,0.39457793
44,-0.00080856993,-0.000559573,0.39427055
44.1,0.00064672692,-0.00057575586,0.39405441
44.2,0.00046176898,-0.00046490762,0.39422426
44.3,-0.00049239346,-0.00046797036,0.39400607
44.4,0.00047328582,-0.00046988066,0.39408806
44.5,-0.00026083565,-0.00044863611,0.39395093
44.6,0.00028647686,-0.00044607222,0.39426996
44.7,-0.00085990952,-0.0005034158,0.3941816
44.8,0.00013133552,-0.00057627219,0.39419699
44.9,-0.00012069411,-0.00057520788,0.39398609
45,0.00045557367,-0.00054172007,0.39408833
45.1,-0.00031285433,-0.00052744907,0.3941905
45.2,-0.00032962766,-0.00059169678,0.39409012
45.3,0.0001719922,-0.00060745911,0.39365936
45.4,0.0010333451,-0.00048692616,0.39391085
45.5,-0.00064471075,-0.0004480643,0.39399516
45.6,-0.00025747563,-0.00053828189,0.39380336
45.7,0.00043539517,-0.00052048911,0.39347278
45.8,0.0008209852,-0.00039485219,0.3937975
45.9,-0.00080406636,-0.00039316157,0.39389683
46,-0.00027947515,-0.00050151465,0.39379504
46.1,0.00021903269,-0.00050755902,0.3940182
46.2,-0.00059704103,-0.00054535994,0.39387448
46.3,0.00030596709,-0.00057446702,0.39404035
46.4,-0.0004640771,-0.00059027741,0.39353178
46.5,0.0012354987,-0.00051313483,0.3935667
46.6,-7.4790809e-05,-0.00039706565,0.39360296
46.7,-8.4171262e-05,-0.00041296113,0.39310902
46.8,0.0012670833,-0.00029466963,0.3928868
46.9,0.00065039502,-0.00010292328,0.39290433
47,7.2097025e-05,-3.0674843e-05,0.39296401
47.1,-3.8707294e-05,-2.7335967e-05,0.3930855
47.2,-0.0002066034,-5.1867043e-05,0.39338835
47.3,-0.00069054195,-0.00014158128,0.39320076
47.4,0.00051628345,-0.00015900633,0.39310501
47.5,0.00031100726,-7.6277804e-05,0.39303106
47.6,0.00027036248,-1.8141234e-05,0.3933982
47.7,-0.00084718796,-7.5824136e-05,0.39356029
47.8,-0.00038131213,-0.00019867313,0.39330067
47.9,0.0006720208,-0.00016960181,0.39319866
48,0.00030988915,-7.1411486e-05,0.39306805
48.1,0.00039922891,-4.9999655e-07,0.39293247
48.2,0.00043274023,8.26965e-05,0.39296611
48.3,2.111407e-05,0.00012808151,0.39308713
48.4,-0.00020808542,0.00010938423,0.39277001
48.5,0.000894092,0.00017798507,0.39272493
48.6,0.00024842025,0.00029223515,0.39240702
48.7,0.0009541081,0.00041248773,0.39245106
48.8,7.8491892e-05,0.00051574699,0.39266198
48.9,-0.00035571327,0.00048802488,0.39277935
49,-0.00014998956,0.00043745529,0.39305404
49.1,-0.00057158248,0.00036529864,0.39342327
49.2,-0.00085777698,0.00022236351,0.39373535
49.3,-0.00077090874,5.9495683e-05,0.39352509
49.4,0.00051599637,3.4005216e-05,0.39357186
49.5,-0.00010870629,7.4733722e-05,0.39360311
49.6,-7.6810403e-05,5.6182107e-05,0.39336421
49.7,0.00060943833,0.00010944495,0.39331051
49.8,0.00017331591,0.00018771986,0.39350685
49.9,-0.00045847035,0.0001592043,0.39363584
50,-0.0003178404,8.1573639e-05,0.39359286
50.1,0.00010141144,5.9931155e-05,0.3940049
50.2,-0.0010570151,-3.562929e-05,0.3938939
50.3,0.00021556502,-0.00011977329,0.39337332
50.4,0.0012814547,2.9928474e-05,0.39320705
50.5,0.00045747976,0.00020382081,0.393544
50.6,-0.00080442846,0.0001691253,0.39294316
50.7,0.00154218,0.00024290102,0.39280207
50.8,0.00046129614,0.00044324754,0.39319169
50.9,-0.00087487892,0.0004018887,0.39309026
51,0.00031971857,0.00034637302,0.3927968
51.1,0.0008274316,0.00046108798,0.39301736
51.2,-0.00044159711,0.00049967106,0.3933557
51.3,-0.00077860094,0.00037765112,0.39296984
51.4,0.0010210471,0.00040189639,0.39299948
51.5,1.8967162e-05,0.00050589686,0.39297343
51.6,0.00015668479,0.00052346172,0.39281337
51.7,0.00050386094,0.00058951577,0.39263309
51.8,0.00058119497,0.00069802072,0.39257953
51.9,0.00028569941,0.00078470905,0.39235639
52,0.00072847576,0.00088612643,0.3924845
52.1,-0.00013490079,0.00094548457,0.39308418
52.2,-0.0013626742,0.00079572734,0.39323035
52.3,-0.00029779881,0.00062968098,0.39321788
52.4,8.4717481e-05,0.00060837323,0.39335678
52.5,-0.00030103723,0.00058674205,0.39395767
52.6,-0.0015063569,0.0004060031,0.39418155
52.7,-0.00063786388,0.00019158241,0.39440128
52.8,-0.0006637285,6.1423721e-05,0.39450987
52.9,-0.00041504391,-4.6452974e-05,0.39475871
53,-0.00079225716,-0.00016718269,0.39457652
53.1,0.00027059193,-0.00021934868,0.39481268
53.2,-0.00077202264,-0.00026949162,0.39434501
53.3,0.00099121887,-0.00024757153,0.39463607
53.4,-0.00087698645,-0.00023614933,0.39491183
53.5,-0.00088523608,-0.00041237089,0.39485729
53.6,-8.4682012e-05,-0.00050936194,0.39475044
53.7,5.7141997e-05,-0.0005121158,0.39464225
53.8,7.6868947e-05,-0.00049871442,0.39434281
53.9,0.0005830632,-0.00043272108,0.39413646
54,0.00039202798,-0.00033521268,0.39437475
54.1,-0.00071384838,-0.00036739498,0.39430158
54.2,4.471918e-05,-0.00043430722,0.39410136
54.3,0.00038104456,-0.00039173102,0.39419956
54.4,-0.00035143553,-0.00038876998,0.39378109
54.5,0.0009550232,-0.00032841085,0.39360979
54.6,0.000388808,-0.00019402844,0.3935911
54.7,2.5178007e-05,-0.00015263013,0.39359666
54.8,-3.4280487e-05,-0.00015354032,0.3933868
54.9,0.00051599395,-0.00010536901,0.39361217
55,-0.00056492513,-0.00011026251,0.39362948
55.1,-6.871812e-05,-0.00017362641,0.39351925
55.2,0.00025465922,-0.00015503219,0.39334986
55.3,0.00042344299,-8.7222114e-05,0.39321073
55.4,0.00037284627,-7.5934876e-06,0.39323433
55.5,-2.1681539e-05,2.7522727e-05,0.39322729
55.6,5.2748943e-05,3.0629483e-05,0.39324305
55.7,-4.6892423e-06,3.5435398e-05,0.39298098
55.8,0.00070386482,0.00010535294,0.39293087
55.9,0.00020309611,0.0001960486,0.39309246
56,-0.00033100203,0.00018325796,0.39333208
56.1,-0.00055679221,9.4478705e-05,0.39316523
56.2,0.00044520792,8.3320682e-05,0.39327826
56.3,-0.00024479156,0.00010336204,0.39338585
56.4,-0.00024921047,5.3961959e-05,0.39319945
