Timestep,Alpha,Omega,Theta
41,0.026519355,-0.0079064135,0.2278313
41.1,0.021401225,-0.0075745563,0.2313751
41.2,0.019542888,-0.0073210919,0.2417522
41.3,0.011202264,-0.007176468,0.23292026
41.4,0.022964364,-0.0055319703,0.23099733
41.5,0.024120683,-0.0044405087,0.22543208
41.6,0.028287581,-0.0030428755,0.22065703
41.7,0.031850765,-0.001689914,0.223871
41.8,0.026344902,-0.0010675555,0.22370938
41.9,0.026324456,-0.00011883217,0.22762217
42,0.021820621,0.00040125667,0.22374354
42.1,0.026434211,0.0016662172,0.22436753
42.2,0.025604919,0.0025782802,0.22755412
42.3,0.022342101,0.0031943133,0.22774257
42.4,0.022263305,0.0039184692,0.22152407
42.5,0.027853893,0.0051916659,0.21586614
42.6,0.032347076,0.0066675139,0.21628132
42.7,0.029119939,0.0073533585,0.21071014
42.8,0.035067061,0.0093176356,0.21972491
42.9,0.023899265,0.0097235911,0.22559549
43,0.019302807,0.010246268,0.2283979
43.1,0.018717364,0.010823697,0.22717999
43.2,0.021549265,0.011573278,0.22298972
43.3,0.027367228,0.013127956,0.22704159
43.4,0.023648534,0.01431603,0.23720998
43.5,0.0146761,0.014176371,0.2358603
43.6,0.019049367,0.015038279,0.23454933
43.7,0.022628226,0.016386937,0.23976027
43.8,0.018414471,0.016938096,0.24246788
43.9,0.018279593,0.018163652,0.25125302
44,0.011767507,0.017707816,0.2452761
44.1,0.020431711,0.018700257,0.24177607
44.2,0.025329477,0.020376176,0.24824929
44.3,0.018404215,0.020260452,0.24466203
44.4,0.023671498,0.021727533,0.24873364
44.5,0.019493991,0.021980974,0.24727292
44.6,0.022956592,0.02387948,0.2576658
44.7,0.013107472,0.023650641,0.25756697
44.8,0.01630188,0.024613205,0.26028585
44.9,0.015317988,0.024718278,0.25701145
45,0.020910764,0.026248329,0.26230829
45.1,0.016238043,0.026995554,0.267798
45.2,0.012645604,0.027106118,0.2675368
45.3,0.014701477,0.026695941,0.25782381
